   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	451302	179420	58180	74910	11964	11073	9079	29143	38222	373769	82.8202
Khulna	413500	145370	49038	77340	15416	14229	11461	21776	33237	334630	80.9262
Barisal	141122	42276	10858	35247	3733	6070	2277	4528	6805	104989	74.3959
Dhaka	480880	188077	62890	76879	19032	10140	7594	23104	30698	387716	80.6264
Chittagong	415680	144625	38860	83581	13921	10136	4114	18913	23027	314150	75.5750
Sylhet	48962	17246	7454	6436	733	2205	1147	2088	3235	37309	76.1999
Rangpur	277026	111457	20792	43319	6240	6494	15085	15997	31082	219384	79.1926
Mymensingh	187352	73986	20928	28463	5216	5467	4425	7791	12216	146276	78.0755

 
