   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	338242	131420	48456	57554	8126	6529	6069	23636	29705	281790	83.3102
Khulna	475057	165554	57058	88066	14899	15309	11567	26801	38368	379254	79.8334
Barisal	116634	33286	9391	30948	3536	3830	1556	3115	4671	85662	73.4451
Dhaka	597092	226426	76677	89033	21709	13307	12674	26258	38932	466084	78.0590
Chittagong	461951	163970	45922	102985	15006	11586	5820	20357	26177	365646	79.1526
Sylhet	52450	17665	7600	6318	775	2284	1184	2174	3358	38000	72.4500
Rangpur	279807	111940	21505	44677	6331	6465	15287	16115	31402	222320	79.4548
Mymensingh	152371	61104	17869	23597	3712	3961	3484	5390	8874	119117	78.1756

 
