   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	344419	126446	46912	62834	8945	9089	5815	26810	32625	286851	83.2855
Khulna	359720	124357	40758	63695	14662	18359	11351	19328	30679	292510	81.3160
Barisal	118461	34422	11276	31203	4025	5866	2081	3049	5130	91922	77.5968
Dhaka	631265	236238	62385	91664	28273	22413	19709	32858	52567	493540	78.1827
Chittagong	358581	124025	35671	73582	13268	14289	3845	16739	20584	281419	78.4813
Sylhet	28906	8525	4119	4060	420	2609	820	1959	2779	22512	77.8800
Rangpur	342537	129463	33232	59540	11263	13256	14456	18640	33096	279850	81.6992
Mymensingh	148068	55422	14468	23963	5416	6031	4246	6210	10456	115756	78.1776

 
