   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	428312	171295	60488	65417	11570	9521	8511	27307	35818	354109	82.6755
Khulna	515919	178987	67954	93059	14868	17733	12630	29132	41762	414363	80.3155
Barisal	149704	46241	11699	37146	4036	6617	2355	4971	7326	113065	75.5257
Dhaka	613018	242861	80185	92154	23068	12307	9685	25628	35313	485888	79.2616
Chittagong	466536	166092	45266	105918	15813	12663	5512	21136	26648	372400	79.8224
Sylhet	63726	24877	9386	8227	1232	2748	1315	2781	4096	50566	79.3491
Rangpur	331370	130228	24373	67210	6780	7484	16628	17763	34391	270466	81.6205
Mymensingh	172382	69037	20255	27321	5095	5071	4273	7209	11482	138261	80.2062

 
