   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	571483	209416	71652	101210	17883	19942	12199	36007	48206	468309	81.9463
Khulna	564336	195498	63678	103167	19577	28311	13445	37370	50815	461046	81.6971
Barisal	130239	39277	12005	34248	4644	7021	2329	3420	5749	102944	79.0424
Dhaka	649706	247128	68807	97413	28809	24646	11206	36012	47218	514021	79.1159
Chittagong	530495	181475	51809	101309	19028	20892	6443	25003	31446	405959	76.5246
Sylhet	25523	9889	3577	4723	903	2283	716	1470	2186	23561	92.3128
Rangpur	494957	181424	42615	94496	15075	19144	22889	25789	48678	401432	81.1044
Mymensingh	205730	81020	19974	33207	6810	8779	5573	8547	14120	163910	79.6724

 
