   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	486387	185141	41735	75540	12469	11799	7429	31779	39208	365892	75.2265
Khulna	505460	194278	48842	105187	13318	12594	7402	19720	27122	401341	79.4011
Barisal	105836	30512	6861	27156	2724	3063	1111	3103	4214	74530	70.4203
Dhaka	625327	227530	67332	80488	22755	7807	5729	25162	30891	436803	69.8519
Chittagong	496369	163968	38175	84513	12660	7837	2449	17476	19925	327078	65.8941
Sylhet	85924	28387	11572	9745	1777	1966	710	2056	2766	56213	65.4218
Rangpur	360025	113268	17939	52325	5065	5391	8086	12226	20312	214300	59.5236
Mymensingh	228812	89684	16064	35931	7529	6404	3112	8256	11368	166980	72.9769

 
