   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	531667	209975	64782	84988	13160	9679	8702	31158	39860	422444	79.4565
Khulna	535950	206830	64447	97049	15288	11631	9198	23720	32918	428163	79.8886
Barisal	144168	45371	11483	34499	3227	4632	1744	4681	6425	105637	73.2735
Dhaka	707444	281489	77283	95014	22484	7790	7322	27545	34867	518927	73.3524
Chittagong	507217	180997	45727	95199	14169	8851	3478	20737	24215	369158	72.7811
Sylhet	82139	30225	11596	9223	1492	2392	925	2485	3410	58338	71.0235
Rangpur	375838	153840	29127	72860	7510	6108	13988	16581	30569	300014	79.8254
Mymensingh	181485	71372	17738	28136	4364	3925	3299	6842	10141	135676	74.7588

 
