   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	456778	178482	40523	73093	12303	11255	7101	29695	36796	352452	77.1605
Khulna	451543	172504	43898	96874	12372	10424	6620	16828	23448	359520	79.6203
Barisal	113364	33558	7583	28015	2982	3258	1147	3435	4582	79978	70.5497
Dhaka	610377	236987	62934	86967	19072	7494	4576	23132	27708	441162	72.2770
Chittagong	486511	161859	38387	84263	12604	7871	2447	17229	19676	324660	66.7323
Sylhet	76612	25933	10059	8590	1655	1868	669	1907	2576	50681	66.1528
Rangpur	260031	106322	16977	49050	5234	5064	8334	11845	20179	202826	78.0007
Mymensingh	206625	81187	13385	31105	5479	6175	2902	8253	11155	148486	71.8626

 
