   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	544060	212462	71463	87985	13508	10269	9476	32265	41741	437428	80.4007
Khulna	176747	67979	17615	32635	4660	3487	1280	13708	14988	141364	79.9810
Barisal	144511	45099	11850	35503	3257	5574	1903	4619	6522	107805	74.5999
Dhaka	608653	264059	73998	86847	21522	9138	7670	26137	33807	489371	80.4023
Chittagong	440346	157356	36645	85381	12842	9217	2981	18509	21490	322931	73.3357
Sylhet	71038	26379	9819	7667	1271	1428	1256	2319	3575	50139	70.5805
Rangpur	392475	159294	31391	73488	8041	7400	15813	17690	33503	313117	79.7801
Mymensingh	182540	71057	17083	26653	6942	4591	3816	7104	10920	137246	75.1868

 
