   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	415612	158651	62109	68476	11673	12480	7858	25103	32961	346350	83.3349
Khulna	421703	144978	52245	75788	15873	17193	11356	22102	33458	339535	80.5152
Barisal	141120	42799	10827	36840	3912	6317	2511	4272	6783	107478	76.1607
Dhaka	625980	237985	69791	92145	26509	17961	16546	31602	48148	492539	78.6829
Chittagong	329327	119289	33677	80517	10614	11358	4698	12641	17339	272794	82.8338
Sylhet	47199	15259	6978	5861	669	3368	1204	2186	3390	35525	75.2664
Rangpur	343391	133442	29703	59614	10622	10829	16149	18300	34449	278659	81.1492
Mymensingh	179996	69428	19213	28888	5274	6100	4709	7110	11819	140722	78.1806

 
