   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	593181	215596	76191	106287	18591	21859	13289	38658	51947	490471	82.6849
Khulna	590632	201416	66904	107018	20711	30191	14346	40162	54508	480748	81.3955
Barisal	141758	43461	12945	36955	5155	8192	2683	3966	6649	113357	79.9652
Dhaka	744531	284713	77867	112093	31736	30708	13089	43159	56248	593365	79.6965
Chittagong	539533	183918	53150	103934	20637	23683	6665	26274	32939	418261	77.5228
Sylhet	56262	20568	5942	8112	982	4197	1439	3655	5094	44895	79.7963
Rangpur	544726	199502	44968	99374	17019	23013	25932	31034	56966	440842	80.9291
Mymensingh	208383	80296	20108	33246	7402	9998	5668	8381	14049	165099	79.2286

 
