   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	463766	177816	63161	77970	12933	12569	9514	30325	39839	384288	82.8625
Khulna	565422	183767	64650	95805	17856	19204	12794	30793	43587	424869	75.1419
Barisal	107158	28190	7169	32076	3747	5180	1980	2773	4753	81115	75.6966
Dhaka	471490	182413	56577	75772	19640	11937	10237	22724	32961	379300	80.4471
Chittagong	477332	172219	47566	107909	16272	13492	6214	21497	27711	385169	80.6921
Sylhet	52702	18088	7914	6331	816	2855	1273	2386	3659	39663	75.2590
Rangpur	315656	125667	27810	52342	8478	8809	15656	16464	32120	255226	80.8557
Mymensingh	180418	71447	19898	26336	5115	5969	4334	7191	11525	140290	77.7583

 
