   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	582935	212363	72823	106654	17594	23224	10937	40486	51423	484081	83.0420
Khulna	598071	199647	69096	109299	21788	32772	14605	41289	55894	488496	81.6786
Barisal	134512	42577	12076	34935	5316	7517	2507	3672	6179	108600	80.7363
Dhaka	755301	284819	77942	114417	32669	33692	13558	45236	58794	602333	79.7474
Chittagong	558387	188954	53712	111299	22627	27833	7544	26492	34036	438461	78.5228
Sylhet	51456	17918	4949	7548	1091	3860	1465	3578	5043	40409	78.5312
Rangpur	545029	196700	45630	95391	17374	25403	24705	30706	55411	435909	79.9790
Mymensingh	214645	83743	19413	33033	8029	11280	6004	8888	14892	170390	79.3822

 
