   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	533680	208434	62676	84123	12783	8835	8586	31090	39676	416527	78.0481
Khulna	538651	208902	63458	96234	14666	10165	8965	23575	32540	425965	79.0800
Barisal	143910	49047	11287	29491	3147	4002	1643	4443	6086	103060	71.6142
Dhaka	663640	272453	73672	90888	20565	6569	6865	25937	32802	496949	74.8823
Chittagong	516792	179386	44816	96392	13912	8323	3299	20860	24159	366988	71.0127
Sylhet	98288	34844	14115	11504	1986	2649	1068	3144	4212	69310	70.5173
Rangpur	384894	150532	28641	76808	7628	5460	14602	18119	32721	301790	78.4086
Mymensingh	190453	76094	16640	22605	7263	3332	3259	6335	9594	135528	71.1609

 
