   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	494938	186966	38942	74310	11290	9796	7067	31043	38110	359414	72.6180
Khulna	440091	161022	43237	83624	12937	10047	5663	18438	24101	334968	76.1133
Barisal	113575	35683	6814	26796	2656	2933	1040	3287	4327	79209	69.7416
Dhaka	588060	239510	61146	77518	18206	6963	4972	22977	27949	431292	73.3415
Chittagong	480474	154371	34587	78554	11543	6834	2140	16465	18605	304494	63.3737
Sylhet	86062	26709	10730	9560	1744	1975	684	1887	2571	53289	61.9193
Rangpur	243670	100798	19202	34083	3615	4212	12111	10725	22836	184746	75.8181
Mymensingh	210995	83571	14128	36008	5413	5984	2937	8485	11422	156526	74.1847

 
