   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	438201	169254	38102	72513	11676	10677	6703	29448	36151	338373	77.2187
Khulna	407483	151016	41524	80381	13045	10000	6596	15588	22184	318150	78.0769
Barisal	112465	33727	7750	27207	2997	3213	1157	3468	4625	79519	70.7056
Dhaka	663247	246949	74150	93018	24630	8266	6195	24369	30564	477577	72.0059
Chittagong	498531	166380	40359	87565	14125	8244	2370	18136	20506	337179	67.6345
Sylhet	83633	28500	11127	9658	1806	1898	700	2042	2742	55731	66.6376
Rangpur	320015	125237	19439	63647	5677	5730	9265	15183	24448	244178	76.3020
Mymensingh	207826	81789	14286	32642	5447	5982	3157	8197	11354	151500	72.8975

 
