   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	586655	213291	74846	104705	18224	21327	12924	37781	50705	483098	82.3479
Khulna	589788	203418	65591	107943	20495	29948	14344	40416	54760	482155	81.7506
Barisal	136139	41337	12324	35707	4968	7677	2499	3745	6244	108257	79.5195
Dhaka	694307	264495	73254	105294	30258	27814	12372	39026	51398	552513	79.5776
Chittagong	531680	181817	52288	102110	19598	22442	6435	25546	31981	410236	77.1584
Sylhet	61401	22383	6289	8723	1018	4514	1550	4006	5556	48483	78.9613
Rangpur	528756	191708	45024	100580	16178	21432	24659	28290	52949	427871	80.9203
Mymensingh	208113	79997	20094	33277	7144	9610	5658	8727	14385	164507	79.0470

 
