   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	442373	174309	56522	73866	12377	11854	9178	28310	37488	366416	82.8296
Khulna	484714	166555	60709	88264	15423	16332	10987	27780	38767	386050	79.6449
Barisal	136216	38757	10833	37686	4200	4522	1779	3846	5625	101623	74.6043
Dhaka	631456	249567	79704	95248	23699	13989	11506	28222	39728	501935	79.4885
Chittagong	465485	167281	45102	104535	15540	12235	6023	20874	26897	371590	79.8286
Sylhet	0	232	130	247	13	0	0	0	0	622	NULL
Rangpur	284696	115119	23610	45258	6342	6738	14217	15337	29554	226621	79.6010
Mymensingh	164446	66927	17451	25008	3766	4261	3608	6016	9624	127037	77.2515

 
