   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	449998	179403	56732	73863	11289	9482	8731	28635	37366	368135	81.8081
Khulna	475169	166332	63828	85436	15153	15895	12195	26347	38542	385186	81.0629
Barisal	148033	46197	11747	35897	3839	6192	2236	4836	7072	110944	74.9455
Dhaka	574160	232425	74602	83970	20981	10398	8766	23333	32099	454475	79.1548
Chittagong	425301	153634	38420	95295	13881	10001	5042	19257	24299	335530	78.8924
Sylhet	13129	7067	1648	1713	277	494	154	439	593	11792	89.8164
Rangpur	242707	97879	17882	39704	5214	5231	13338	14514	27852	193762	79.8337
Mymensingh	170813	69153	20025	24550	4057	4532	4031	7005	11036	133353	78.0696

 
