   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	579793	210872	76003	102471	18134	22558	13095	36590	49685	479723	82.7404
Khulna	595964	202534	68471	107123	21401	31730	14507	40858	55365	486624	81.6533
Barisal	141312	43479	13282	36491	5404	7610	2666	3968	6634	112900	79.8941
Dhaka	756379	286887	79133	114067	32319	32446	13429	44397	57826	602678	79.6794
Chittagong	565006	191391	55590	111136	22408	27026	7418	26815	34233	441784	78.1910
Sylhet	56044	20301	5919	8160	1055	4191	1461	3668	5129	44755	79.8569
Rangpur	538930	199582	47253	92674	17118	23884	24497	29263	53760	434271	80.5802
Mymensingh	209643	81326	19885	33064	7684	10561	5733	8537	14270	166790	79.5591

 
