   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	235864	90189	46136	35832	4899	4704	2843	12935	15778	197538	83.7508
Khulna	327239	112058	42803	57673	10355	14142	9520	17254	26774	263805	80.6154
Barisal	125052	36891	10978	31590	3971	5847	2200	3450	5650	94927	75.9100
Dhaka	313125	112140	40688	51910	13164	8601	4227	15348	19575	246078	78.5878
Chittagong	338131	116279	31259	69601	10851	12441	3622	13691	17313	257744	76.2261
Sylhet	51734	16921	7200	6119	710	4293	1339	2655	3994	39237	75.8437
Rangpur	328734	123809	28509	58607	10178	11212	15470	18337	33807	266122	80.9536
Mymensingh	159464	61073	15551	24417	5286	5872	4623	6795	11418	123617	77.5203

 
