   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	443157	174571	38566	75612	11861	10172	6904	28659	35563	346345	78.1540
Khulna	484974	184868	51265	97970	13508	12203	9655	20274	29929	389743	80.3637
Barisal	133595	44460	8593	31448	3176	3435	1411	4037	5448	96560	72.2782
Dhaka	667829	251134	62327	95894	22347	8151	6756	25691	32447	472300	70.7217
Chittagong	506236	168140	40817	91603	13012	7844	2695	18933	21628	343044	67.7637
Sylhet	97995	33532	13197	11043	1868	2451	852	2435	3287	65378	66.7156
Rangpur	394205	147914	23458	86716	7414	6657	11034	17978	29012	301171	76.3996
Mymensingh	208456	80963	15187	32778	6799	5477	3442	7966	11408	152612	73.2107

 
