   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	467652	186797	61750	75623	12070	9980	8804	29124	37928	384148	82.1440
Khulna	490308	174090	63142	90499	15758	16154	12294	27390	39684	399327	81.4441
Barisal	149539	46292	11850	36425	3976	6437	2312	4926	7238	112218	75.0426
Dhaka	546025	229792	74306	84510	19747	10583	6218	23539	29757	448695	82.1748
Chittagong	422934	151457	42211	94702	14009	10049	5126	19314	24440	336868	79.6503
Sylhet	13133	7364	1758	1824	292	547	154	441	595	12380	94.2664
Rangpur	327508	128337	25321	60352	6732	7177	15574	17004	32578	260497	79.5391
Mymensingh	187087	74410	20910	28172	5155	5175	4333	7746	12079	145901	77.9856

 
