   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	463953	178004	62979	77473	12886	12499	9483	30234	39717	383558	82.6717
Khulna	491161	169054	60885	88318	14864	17692	11748	28860	40608	391421	79.6930
Barisal	149271	47240	11761	35760	4110	6976	2449	4761	7210	113057	75.7394
Dhaka	428922	164097	49815	67478	20394	10866	6578	20911	27489	340139	79.3009
Chittagong	473344	169474	46903	107236	16131	13107	6161	21288	27449	380300	80.3433
Sylhet	52670	18034	7984	6314	808	2741	1246	2338	3584	39465	74.9288
Rangpur	318831	125622	27748	52487	8417	8630	15560	16416	31976	254880	79.9420
Mymensingh	163489	64862	17756	23785	4540	5160	3995	6833	10828	126931	77.6389

 
