   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	616458	222771	77369	110007	19316	24451	13824	41884	55708	509622	82.6694
Khulna	597956	200673	69039	108273	21724	32632	14568	41200	55768	488109	81.6296
Barisal	141360	43957	13273	36760	5458	7771	2676	3968	6644	113863	80.5482
Dhaka	752579	283840	77816	114184	32534	33318	13460	44865	58325	600017	79.7281
Chittagong	548270	184238	53671	109696	22413	27294	7455	26164	33619	430931	78.5983
Sylhet	50269	17883	4663	7374	1000	3629	1404	3490	4894	39443	78.4639
Rangpur	537205	196004	45462	93044	17339	24414	24620	30573	55193	431456	80.3150
Mymensingh	214659	83674	19525	33165	7892	11201	6024	8860	14884	170341	79.3542

 
