   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	320051	121724	48636	55937	7267	7772	4059	21408	25467	266803	83.3627
Khulna	359590	124575	40670	63550	14662	18234	11304	19324	30628	292319	81.2923
Barisal	118448	34310	11212	31290	3990	5819	2077	3047	5124	91745	77.4559
Dhaka	584880	224220	56512	83756	24456	21202	18614	31232	49846	459992	78.6472
Chittagong	387525	134989	36655	81409	13625	14900	4184	17621	21805	303383	78.2873
Sylhet	34482	10917	4680	4763	607	2621	938	2087	3025	26613	77.1794
Rangpur	341710	129533	32567	59021	11133	13091	14457	18582	33039	278384	81.4679
Mymensingh	171743	65921	17486	28553	5708	6844	4546	6882	11428	135940	79.1532

 
