   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	280325	108543	48455	44624	6358	5923	3741	18130	21871	235774	84.1074
Khulna	326964	112152	43063	57873	10233	13971	9218	16726	25944	263236	80.5092
Barisal	140473	43036	11147	35844	3953	6430	2526	4137	6663	107073	76.2232
Dhaka	642293	243130	72326	95133	27299	19153	17299	32258	49557	506598	78.8733
Chittagong	365179	125231	31399	76025	12402	12947	3872	16871	20743	278747	76.3316
Sylhet	51527	16687	7304	6239	754	4047	1363	2504	3867	38898	75.4905
Rangpur	358699	137616	32065	62915	10999	12027	16830	19633	36463	292085	81.4290
Mymensingh	183124	72405	20896	29897	5537	6559	4889	7449	12338	147632	80.6186

 
