   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	545776	211885	64322	77677	12913	9199	8353	31398	39751	415747	76.1754
Khulna	531646	203080	62001	95949	14876	10303	8772	22307	31079	417288	78.4898
Barisal	142944	47271	10253	31981	3136	3975	1616	4377	5993	102609	71.7827
Dhaka	668505	265093	77428	87194	20513	6724	6593	25559	32152	489104	73.1639
Chittagong	533881	181117	44783	98382	14691	9030	3376	21849	25225	373228	69.9085
Sylhet	96948	33768	13511	11014	1940	2747	1068	2848	3916	66896	69.0019
Rangpur	380959	146908	27905	77086	7531	5728	13970	17513	31483	296641	77.8669
Mymensingh	120984	55373	10139	14114	1874	1488	1716	3758	5474	88462	73.1188

 
