   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	470209	187729	61656	76682	11679	9235	8468	29471	37939	384920	81.8615
Khulna	465880	168031	63131	85154	13778	15327	11505	25792	37297	382718	82.1495
Barisal	121038	35497	7665	34660	3408	5361	2579	3911	6490	93081	76.9023
Dhaka	595402	227776	71441	80075	19364	10017	5969	22460	28429	437102	73.4129
Chittagong	367459	135475	35735	70487	12315	7489	3071	16086	19157	280658	76.3780
Sylhet	0	300	85	174	1	2	0	0	0	562	NULL
Rangpur	291302	114533	22685	55694	6094	6046	13832	13757	27589	232641	79.8625
Mymensingh	103677	41789	14064	13400	1844	1980	2048	3531	5579	78656	75.8664

 
