   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	485593	191049	41680	74674	12180	11676	7487	30657	38144	369403	76.0726
Khulna	479015	181481	47556	96993	13377	12541	7217	28410	35627	387575	80.9108
Barisal	113070	33813	7447	28305	2890	3211	1121	3400	4521	80187	70.9180
Dhaka	645041	233166	59322	83083	19395	8126	5632	25422	31054	434146	67.3052
Chittagong	497512	164775	37812	84385	12292	7757	2433	17512	19945	326966	65.7202
Sylhet	85988	29035	12097	9940	1847	2064	798	2022	2820	57803	67.2222
Rangpur	256331	104940	17499	47264	5005	5298	7485	11453	18938	198944	77.6121
Mymensingh	214762	86016	14132	33869	6606	6260	2896	6288	9184	156067	72.6697

 
