   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	479785	188108	43649	78974	13017	10436	7739	32881	40620	374804	78.1192
Khulna	489058	187386	52339	98292	13747	11946	8630	19172	27802	391512	80.0543
Barisal	136489	47329	10203	27629	3235	3643	1425	4042	5467	97506	71.4387
Dhaka	666155	264074	65660	91675	22019	8064	6824	26071	32895	484387	72.7139
Chittagong	512093	169665	41813	92542	15162	7683	2974	19655	22629	349494	68.2482
Sylhet	96655	33176	13280	10875	1820	2416	927	2591	3518	65085	67.3374
Rangpur	399749	152163	25832	85032	7794	6733	11869	18502	30371	307925	77.0296
Mymensingh	203792	81875	15119	29043	5689	5010	3467	7708	11175	147911	72.5794

 
