   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	444583	173970	39094	71599	11314	10075	6797	28735	35532	341584	76.8324
Khulna	441165	169676	43186	96246	12203	9634	5994	15344	21338	352283	79.8529
Barisal	114436	34137	7631	27825	3021	3263	1160	3522	4682	80559	70.3966
Dhaka	573145	214340	53726	74861	16644	7305	5985	22957	28942	395818	69.0607
Chittagong	498057	166556	39985	87244	13220	8122	2444	18020	20464	335591	67.3800
Sylhet	75120	25907	9761	8182	1514	1794	552	1798	2350	49508	65.9052
Rangpur	239871	97903	15179	42963	5221	5330	8702	12308	21010	187606	78.2112
Mymensingh	199348	82522	14030	32268	5609	6148	3034	8186	11220	151797	76.1467

 
