   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	305135	112990	51837	50498	7808	6443	4525	19292	23817	253393	83.0429
Khulna	416178	143387	47608	78456	16144	16956	11961	21394	33355	335906	80.7121
Barisal	152230	46032	11859	38718	4415	7194	2811	4815	7626	115844	76.0980
Dhaka	520187	200245	61619	80285	22505	14143	12039	25510	37549	416346	80.0378
Chittagong	453724	163502	47451	102733	15942	12825	5848	20783	26631	369084	81.3455
Sylhet	47778	15294	7194	5882	634	3014	1162	2104	3266	35284	73.8499
Rangpur	313236	118933	25524	55874	9213	9448	15016	16753	31769	250761	80.0550
Mymensingh	187808	73412	19768	28579	5381	6391	4667	7568	12235	145766	77.6144

 
