   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	336050	134332	52795	57902	8819	6874	6163	24232	30395	291117	86.6291
Khulna	443776	154396	53162	80811	16444	15748	11905	22708	34613	355174	80.0345
Barisal	75577	17908	4525	26366	2675	2302	1155	1661	2816	56592	74.8799
Dhaka	549633	211437	69310	86659	22847	13380	11084	26182	37266	440899	80.2170
Chittagong	487196	174215	48975	108517	16501	13089	6118	21981	28099	389396	79.9259
Sylhet	0	213	245	226	5	0	0	0	0	689	NULL
Rangpur	289341	115866	24867	45857	6595	7087	14636	15574	30210	230482	79.6576
Mymensingh	176311	68818	19499	25740	4981	5742	4270	7092	11362	136142	77.2170

 
