   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	332320	122845	51401	58247	8388	7851	4688	20655	25343	274075	82.4732
Khulna	309753	106812	36419	54339	10807	15423	9462	17252	26714	250514	80.8754
Barisal	121172	35310	10892	31469	3918	5614	2094	3351	5445	92648	76.4599
Dhaka	580156	219269	57370	82023	26002	19561	18699	31427	50126	454351	78.3153
Chittagong	206035	71144	19735	41197	6257	7755	1700	8296	9996	156084	75.7561
Sylhet	51904	16792	6799	6188	744	4817	1358	2730	4088	39428	75.9633
Rangpur	334618	128446	31228	56465	10660	12379	14169	18284	32453	271631	81.1764
Mymensingh	184301	72405	18624	29046	5789	6900	5058	7428	12486	145250	78.8113

 
