   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	583728	211775	73162	104396	18056	20539	12733	37364	50097	478025	81.8917
Khulna	580187	200607	64886	106247	20283	29246	14261	39088	53349	474618	81.8043
Barisal	132078	39603	12160	34992	4830	7303	2405	3485	5890	104778	79.3304
Dhaka	660824	250802	69038	99449	29732	25554	11370	36576	47946	522521	79.0711
Chittagong	521783	177119	51373	100400	19377	21704	6489	24807	31296	401269	76.9034
Sylhet	60953	22724	6336	9559	1310	5007	1553	3998	5551	50487	82.8294
Rangpur	514308	187583	43629	97380	15746	20397	23577	27325	50902	415637	80.8148
Mymensingh	206953	79552	20056	33135	6824	9329	5628	8610	14238	163134	78.8266

 
