   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	527639	207678	62477	82461	12751	8784	8592	30956	39548	413699	78.4057
Khulna	542327	207246	64084	93399	16095	10266	9045	23724	32769	423859	78.1556
Barisal	144192	42769	11671	30183	3179	4171	1716	4475	6191	98164	68.0787
Dhaka	693046	275590	72816	112372	21253	6612	6945	26696	33641	522284	75.3607
Chittagong	505420	176443	44265	94432	13933	8419	3294	20696	23990	361482	71.5211
Sylhet	90662	32751	13031	10389	1696	2614	961	2992	3953	64434	71.0706
Rangpur	382443	150381	28937	76636	7574	5345	15024	18277	33301	302174	79.0115
Mymensingh	181517	71022	17590	23249	6946	3458	3208	6877	10085	132350	72.9133

 
