   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	424433	161824	59277	74129	11464	13355	7964	25562	33526	353575	83.3053
Khulna	343354	118600	39369	59219	13336	17408	10111	18588	28699	276631	80.5673
Barisal	95266	24883	6835	29789	3631	4608	1915	2338	4253	73999	77.6762
Dhaka	670785	253013	68035	95827	28914	23445	12326	35258	47584	516818	77.0467
Chittagong	121999	40380	11151	25629	5499	4853	622	7247	7869	95381	78.1818
Sylhet	28839	8386	4021	4060	409	2567	801	1923	2724	22167	76.8647
Rangpur	380191	143918	34116	65461	12159	14836	17749	21074	38823	309313	81.3573
Mymensingh	171754	65883	17483	28469	5640	6735	4532	6864	11396	135606	78.9536

 
