   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	475933	179411	35296	72686	11000	9860	6721	30007	36728	344981	72.4852
Khulna	338763	123014	31298	60625	8220	7497	4785	17578	22363	253017	74.6885
Barisal	113795	36058	6577	26602	3053	2992	1138	3317	4455	79737	70.0707
Dhaka	565577	209383	56220	73429	17612	6422	3436	21392	24828	387894	68.5838
Chittagong	479982	156812	34033	78663	11434	6915	2221	16283	18504	306361	63.8276
Sylhet	84214	26849	10674	9328	1716	1833	665	1916	2581	52981	62.9123
Rangpur	295984	128114	18507	45676	4809	5217	8148	12081	20229	222552	75.1906
Mymensingh	205924	84082	14176	41757	6058	6121	3180	8911	12091	164285	79.7794

 
