   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	448157	170078	36497	70467	11154	10704	6872	29737	36609	335509	74.8642
Khulna	512259	194636	47875	105884	12853	12409	6975	20192	27167	400824	78.2464
Barisal	112044	33604	7280	27416	2768	3123	1089	3314	4403	78594	70.1457
Dhaka	685757	254666	65652	81588	27112	8145	5787	25291	31078	468241	68.2809
Chittagong	485668	163108	36294	81923	12272	7481	2330	17648	19978	321056	66.1061
Sylhet	85909	27782	11491	13758	1803	1865	687	2008	2695	59394	69.1359
Rangpur	217908	90352	14881	37960	2830	4135	6418	10074	16492	166650	76.4772
Mymensingh	222386	86803	14278	34833	5743	5898	2982	8056	11038	158593	71.3143

 
