   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	451304	176233	37489	70262	11144	10542	6876	29928	36804	342474	75.8854
Khulna	526531	199487	48757	107716	13154	13052	7533	20867	28400	410566	77.9757
Barisal	113802	34186	7182	28014	2778	3172	1087	3385	4472	79804	70.1253
Dhaka	676668	251715	61030	83425	19480	7962	5369	25417	30786	454398	67.1523
Chittagong	480382	158296	33683	79121	13739	7222	2304	16423	18727	310788	64.6960
Sylhet	85791	27666	11413	9522	1775	1940	687	2004	2691	55007	64.1174
Rangpur	279509	117952	18290	49360	4698	4872	7851	11916	19767	214939	76.8988
Mymensingh	233563	89254	15569	38206	6553	6474	3163	8364	11527	167583	71.7507

 
