   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	435174	169385	38505	73261	11644	10575	6713	29089	35802	339172	77.9394
Khulna	415302	154338	41542	86854	13589	10116	6823	15680	22503	328942	79.2055
Barisal	90676	26401	4666	26003	2622	2563	1133	2935	4068	66323	73.1428
Dhaka	662887	237505	75516	93307	22013	7898	6075	23319	29394	465633	70.2432
Chittagong	498172	165956	40724	88580	13226	7871	2500	18223	20723	337080	67.6634
Sylhet	84710	29029	11278	9859	1867	1902	739	2151	2890	56825	67.0818
Rangpur	319561	126955	19248	67969	5977	5982	11230	17302	28532	254663	79.6915
Mymensingh	210371	83699	13959	31569	5517	4673	3251	7995	11246	150663	71.6178

 
