   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	582633	211794	72629	104107	18076	20400	12640	37110	49750	476756	81.8278
Khulna	579450	200807	64913	105917	20196	29122	14158	38852	53010	473965	81.7957
Barisal	131505	39534	11950	34762	4796	7218	2406	3481	5887	104147	79.1962
Dhaka	685280	260070	72219	102451	30319	26561	11679	38167	49846	541466	79.0138
Chittagong	531213	181353	51852	101423	19320	21572	6502	25107	31609	407129	76.6414
Sylhet	60744	22464	6301	9448	1287	4987	1542	3976	5518	50005	82.3209
Rangpur	512697	187460	43140	96966	15628	20098	23508	27111	50619	413911	80.7321
Mymensingh	206618	79925	20015	33242	6994	9246	5625	8611	14236	163658	79.2080

 
