   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	635361	228138	76994	114576	19958	26135	14313	43515	57828	523629	82.4144
Khulna	595491	195981	68731	109950	22042	32381	14493	41963	56456	485541	81.5362
Barisal	134517	42224	12534	35212	5352	7620	2516	3689	6205	109147	81.1399
Dhaka	766483	290207	77958	115630	33128	34404	13648	46251	59899	611226	79.7442
Chittagong	555714	187668	52980	111087	22991	28620	7672	26529	34201	437547	78.7360
Sylhet	57393	20675	5524	8136	1160	4152	1547	4004	5551	45198	78.7518
Rangpur	540134	194093	45813	96195	17538	25317	24168	30530	54698	433654	80.2864
Mymensingh	220256	86927	19749	33487	8064	11538	6226	9155	15381	175146	79.5193

 
