   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	318648	117806	55030	51983	8243	7850	4708	21401	26109	267021	83.7981
Khulna	405573	140598	51205	72237	14691	17406	11180	21191	32371	328508	80.9985
Barisal	140457	42530	11029	36455	3926	6337	2517	4133	6650	106927	76.1279
Dhaka	524819	198771	61605	82758	24440	16414	13471	26762	40233	424221	80.8319
Chittagong	358142	122645	30879	75157	12384	12723	3837	16644	20481	274269	76.5811
Sylhet	50388	16300	7040	6115	701	3869	1299	2445	3744	37769	74.9563
Rangpur	357327	137210	31818	62818	10849	11728	16717	19453	36170	290593	81.3241
Mymensingh	186343	72831	19764	29956	5453	6563	4872	7505	12377	146944	78.8567

 
