   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	445250	175445	56783	73847	12516	11917	9266	28598	37864	368372	82.7337
Khulna	534225	184289	65608	96614	17670	18203	12573	30797	43370	425754	79.6956
Barisal	118360	34154	9767	31482	3613	4104	1572	3329	4901	88021	74.3672
Dhaka	551610	211521	69910	85859	22198	12762	10749	26159	36908	439158	79.6139
Chittagong	478544	177395	50872	117862	16408	12671	7057	21586	28643	403851	84.3916
Sylhet	47058	15404	7133	5642	701	2465	1124	2164	3288	34633	73.5964
Rangpur	344966	135408	28852	59110	8235	8433	15948	16983	32931	272969	79.1292
Mymensingh	163908	68963	19408	25195	4881	5633	4185	7079	11264	135344	82.5732

 
