   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	377279	148182	56594	61469	9666	11152	6710	23522	30232	317295	84.1009
Khulna	416124	144186	51770	74822	14344	17536	11181	23264	34445	337103	81.0102
Barisal	114608	32759	6932	33559	3549	5330	2367	3094	5461	87590	76.4257
Dhaka	636657	242175	70964	94112	26495	19079	17259	32588	49847	502672	78.9549
Chittagong	386887	132265	34761	79589	13456	13523	3901	18135	22036	295630	76.4125
Sylhet	51706	16845	7279	6160	733	4182	1353	2662	4015	39214	75.8403
Rangpur	293503	115517	27237	47331	7306	8637	14603	17009	31612	237640	80.9668
Mymensingh	167361	66013	17023	25152	4760	5976	4594	6812	11406	130330	77.8736

 
