   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	388106	144207	58955	64381	11320	12829	7443	25490	32933	324625	83.6434
Khulna	388722	134855	45149	68828	15264	18743	11378	21478	32856	315695	81.2136
Barisal	106796	31033	9339	29067	3463	4176	1737	2843	4580	81658	76.4617
Dhaka	599885	227364	64189	89140	26391	19040	17909	30885	48794	474918	79.1682
Chittagong	374452	128312	32462	78245	13088	13630	3971	17218	21189	286926	76.6256
Sylhet	51875	16692	6961	6128	709	4445	1345	2672	4017	38952	75.0882
Rangpur	371654	143003	32025	63885	11392	13219	17437	20534	37971	301495	81.1225
Mymensingh	159626	61108	15536	24377	5315	5962	4641	6803	11444	123742	77.5200

 
