   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	585763	213226	75513	103968	18184	21425	13002	37815	50817	483133	82.4793
Khulna	588350	202449	66015	107011	20461	29660	14318	40206	54524	480120	81.6045
Barisal	136307	41273	12339	36020	4974	7787	2508	3702	6210	108603	79.6753
Dhaka	703249	268364	73633	106282	30532	28256	12374	39678	52052	559119	79.5051
Chittagong	502745	172819	49074	96177	19042	20835	6060	24054	30114	388061	77.1884
Sylhet	48021	17974	4857	6852	834	3401	1139	2996	4135	38053	79.2424
Rangpur	532590	194721	44198	99449	16554	22136	25100	29405	54505	431563	81.0310
Mymensingh	208114	79975	19982	33276	7173	9675	5661	8733	14394	164475	79.0312

 
