   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	330714	122101	51895	57067	7983	8115	4541	22202	26743	273904	82.8220
Khulna	399917	139402	44112	71323	16361	19986	11682	23414	35096	326280	81.5869
Barisal	119550	34664	11068	31364	3940	5690	2079	3223	5302	92028	76.9787
Dhaka	672254	254380	69279	96593	28942	23441	19995	35048	55043	527678	78.4938
Chittagong	287268	98929	27347	58193	11212	9576	2231	14351	16582	221839	77.2237
Sylhet	28744	8215	4177	4021	408	2556	795	1890	2685	22062	76.7534
Rangpur	217040	81288	20237	36410	7079	9229	9584	12972	22556	176799	81.4592
Mymensingh	184432	71856	18552	28970	5870	7007	5079	7454	12533	144788	78.5048

 
