   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	467604	186858	43906	72844	12950	10186	8051	30954	39005	365749	78.2177
Khulna	493107	193663	52723	94746	14041	11633	9089	20849	29938	396744	80.4580
Barisal	137992	49036	9619	26930	3294	3656	1504	4257	5761	98296	71.2331
Dhaka	694554	273015	70911	93572	22789	7985	7892	26911	34803	503075	72.4314
Chittagong	499104	167044	42382	90993	14023	7714	3078	19868	22946	345102	69.1443
Sylhet	97325	34348	13704	10733	1881	2464	950	2683	3633	66763	68.5980
Rangpur	404517	156664	27904	76798	10161	6846	12507	18728	31235	309608	76.5377
Mymensingh	174413	69010	13169	25118	5083	4452	3077	7150	10227	127059	72.8495

 
