   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	559663	202564	69589	102986	16456	22353	10360	39840	50200	464148	82.9335
Khulna	598189	199139	69187	109846	21824	32718	15013	40927	55940	488654	81.6889
Barisal	134530	42116	12427	35227	5317	7510	2508	3673	6181	108778	80.8578
Dhaka	756257	285283	78036	114573	32692	33752	13544	45341	58885	603221	79.7640
Chittagong	558009	188811	53533	111261	22653	27985	7554	26512	34066	438309	78.5487
Sylhet	51463	18097	4768	7521	1091	3870	1466	3581	5047	40394	78.4913
Rangpur	545118	196359	45679	95774	17401	25457	24801	30696	55497	436167	80.0133
Mymensingh	214671	83913	19384	32976	7933	11316	6002	8898	14900	170422	79.3875

 
