   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	458277	179324	42145	78165	12503	10291	7300	29961	37261	359689	78.4872
Khulna	500587	190745	51623	101359	13967	12103	8406	20066	28472	398269	79.5604
Barisal	136791	45957	9070	31182	3080	3619	1506	4202	5708	98616	72.0925
Dhaka	679722	261691	65397	95497	22269	8264	6756	25914	32670	485788	71.4686
Chittagong	510800	168725	41435	93000	13830	7724	2919	19480	22399	347113	67.9548
Sylhet	91249	30410	12725	10910	1800	2422	849	2470	3319	61586	67.4922
Rangpur	383748	149446	23993	87696	7617	6789	11489	18304	29793	305334	79.5663
Mymensingh	206892	76197	15283	32220	5648	5353	3447	7534	10981	145682	70.4145

 
