   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	532028	209448	63883	84263	12976	9321	8624	31118	39742	419633	78.8742
Khulna	522640	205958	63689	95499	16008	10744	9054	23863	32917	424815	81.2825
Barisal	143991	47169	11722	32196	3201	4437	1732	4495	6227	104952	72.8879
Dhaka	686029	271577	72860	89391	22106	6947	14984	36323	51307	514188	74.9514
Chittagong	365321	121103	35388	73893	9972	6393	2534	14829	17363	264112	72.2959
Sylhet	86338	31930	12400	9983	1501	2327	906	2642	3548	61689	71.4506
Rangpur	386338	153353	29814	76509	7794	5729	15305	18454	33759	306958	79.4532
Mymensingh	177650	69654	15881	26135	4079	3678	3161	6804	9965	129392	72.8354

 
