   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	309131	129319	28405	52430	8959	5880	6821	17224	24045	249038	80.5607
Khulna	511139	190281	60134	93753	15891	14351	10303	25532	35835	410245	80.2609
Barisal	101761	29888	6189	28778	2804	4738	1799	3183	4982	77379	76.0399
Dhaka	614178	248349	72791	82911	20144	9377	5993	22773	28766	462338	75.2775
Chittagong	362691	132219	29904	71748	11466	8196	2553	15109	17662	271195	74.7730
Sylhet	0	302	57	253	3	0	0	0	0	615	NULL
Rangpur	317004	125462	24674	59076	6482	6152	14623	16000	30623	252469	79.6422
Mymensingh	174116	66790	20201	29614	4741	4683	3571	6984	10555	136584	78.4443

 
