   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	350851	134680	52639	57730	8745	6778	6137	24120	30257	290829	82.8925
Khulna	483234	167279	59327	86012	16880	17077	11918	25733	37651	384226	79.5114
Barisal	118380	34247	9781	31336	3628	4129	1573	3338	4911	88032	74.3639
Dhaka	518981	201950	65619	82189	21391	12000	10234	24362	34596	417745	80.4933
Chittagong	600758	172044	47792	106143	15685	13619	5893	21775	27668	382951	63.7446
Sylhet	52633	18029	7719	6270	799	2565	1209	2285	3494	38876	73.8624
Rangpur	316103	124240	26793	52804	8122	8148	15091	16196	31287	251394	79.5291
Mymensingh	176591	68226	19381	25536	4930	5668	4223	7086	11309	135050	76.4762

 
