   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	545522	229354	68668	88935	13980	11275	9317	32519	41836	454048	83.2318
Khulna	560520	215675	66601	102435	16267	13584	10045	26509	36554	451116	80.4817
Barisal	144516	45000	11800	35298	3437	5522	1891	4608	6499	107556	74.4250
Dhaka	673038	264022	82451	101288	21375	9084	7938	25961	33899	512119	76.0907
Chittagong	621919	195179	50142	104824	15467	10176	3885	23193	27078	402866	64.7779
Sylhet	71058	26322	9780	7336	1209	2186	1076	2309	3385	50218	70.6718
Rangpur	391755	158950	31407	73504	8024	7437	15543	17547	33090	312412	79.7468
Mymensingh	171327	71354	19184	29598	4619	4469	3163	7064	10227	139451	81.3946

 
