   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	538838	195566	43702	75236	11168	9358	7079	31387	38466	373496	69.3151
Khulna	475495	173418	46495	89567	11877	10471	6322	19475	25797	357625	75.2111
Barisal	113242	35576	7413	26467	2611	2809	1014	3301	4315	79191	69.9308
Dhaka	523442	198552	57816	67362	16716	5556	3256	20497	23753	369755	70.6392
Chittagong	478132	153877	36801	76758	12253	6446	2271	16313	18584	304719	63.7311
Sylhet	95760	29669	12898	10332	2552	2197	800	2323	3123	60771	63.4618
Rangpur	263220	119495	21221	38167	4944	4705	13371	16684	30055	218587	83.0435
Mymensingh	232218	93469	14544	38279	6004	5732	3173	9623	12796	170824	73.5619

 
