   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	591843	215218	75572	105776	18519	21851	13249	38562	51811	488747	82.5805
Khulna	577942	196580	65179	106086	20349	29547	14283	39912	54195	471936	81.6580
Barisal	141735	43446	12861	36949	5144	8198	2683	3967	6650	113248	79.9012
Dhaka	728775	278211	75504	109371	31341	30429	12870	42611	55481	580337	79.6318
Chittagong	547147	186760	54056	105689	20644	23817	6736	26553	33289	424255	77.5395
Sylhet	61737	22826	6421	9007	1040	4569	1576	4094	5670	49533	80.2323
Rangpur	557678	203516	47148	102829	17008	23046	25953	31052	57005	450552	80.7907
Mymensingh	208314	80284	20094	33297	7362	9960	5662	8369	14031	165028	79.2208

 
