   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	311429	130452	28570	52982	8964	5709	6780	17166	23946	250623	80.4752
Khulna	516323	202337	64070	96243	15854	14329	10556	24935	35491	428324	82.9566
Barisal	116373	34358	7849	33293	3120	4902	1906	3391	5297	88819	76.3227
Dhaka	617937	255959	74763	86182	20599	9998	6439	22833	29272	476773	77.1556
Chittagong	342738	125432	29141	65718	10818	7884	2302	15152	17454	256447	74.8230
Sylhet	0	322	111	181	2	0	0	0	0	616	NULL
Rangpur	340055	134653	26805	63242	6617	6507	14937	16864	31801	269625	79.2886
Mymensingh	144300	57699	18415	21188	3557	3795	3425	6252	9677	114331	79.2315

 
