   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	532438	211404	66413	86043	13543	10874	8916	31684	40600	428877	80.5497
Khulna	554023	216392	67764	99481	15364	12272	9198	24266	33464	444737	80.2741
Barisal	142956	45152	10990	32626	3276	4970	1761	4506	6267	103281	72.2467
Dhaka	752474	291313	74860	117160	22074	9027	17339	24461	41800	556234	73.9207
Chittagong	552098	195054	49310	104369	15415	9887	3769	23163	26932	400967	72.6261
Sylhet	80914	30098	11578	9129	1517	2480	944	2534	3478	58280	72.0271
Rangpur	391126	159278	30938	73504	7996	7241	14767	17280	32047	311004	79.5150
Mymensingh	182191	71083	19069	29482	7303	4329	3554	7158	10712	141978	77.9281

 
