   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	428678	172026	52806	69728	12056	10579	8850	26077	34927	352122	82.1414
Khulna	506800	175100	64155	91038	16468	16971	12065	28522	40587	404319	79.7788
Barisal	154166	46923	11691	38063	4201	6813	2429	4830	7259	114950	74.5625
Dhaka	584149	226509	76934	96788	22423	12946	10909	26368	37277	472877	80.9514
Chittagong	467835	166696	45953	103754	17024	11827	5754	21363	27117	372371	79.5945
Sylhet	0	283	165	238	1	0	0	0	0	687	NULL
Rangpur	255156	102557	21403	39417	5130	5714	13812	14843	28655	202876	79.5106
Mymensingh	187623	74111	20778	28471	5234	5461	4457	7800	12257	146312	77.9819

 
