   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	536090	214844	66493	86419	13366	10453	8782	31470	40252	431827	80.5512
Khulna	539378	208091	63809	98354	15466	12413	9268	24390	33658	431791	80.0535
Barisal	143669	45238	11026	34091	3267	4850	1754	4529	6283	104755	72.9141
Dhaka	824009	287372	76297	92401	21975	8498	7193	31062	38255	524798	63.6884
Chittagong	550646	194685	49485	104114	15220	9674	3704	23038	26742	399920	72.6274
Sylhet	80965	30179	11554	9211	1506	2426	934	2511	3445	58321	72.0324
Rangpur	383827	157236	29615	71252	7640	6800	14652	16881	31533	304076	79.2221
Mymensingh	181537	63108	19262	21550	6969	4140	3092	7449	10541	125570	69.1705

 
