   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	447250	176814	37527	70358	11292	10690	6695	29937	36632	343313	76.7609
Khulna	507747	193240	48108	105322	12862	12369	7073	19856	26929	398830	78.5490
Barisal	113895	34178	7180	28199	2822	3194	1099	3385	4484	80057	70.2902
Dhaka	646583	233184	62070	81533	18813	8041	5663	24960	30623	434264	67.1629
Chittagong	495880	163317	37023	83023	12065	7823	2354	17393	19747	322998	65.1363
Sylhet	94320	31594	13236	11212	2000	2247	806	2472	3278	63567	67.3950
Rangpur	257609	105389	17286	46412	4487	4944	7715	11464	19179	197697	76.7430
Mymensingh	227553	89135	14988	35601	6037	6300	3043	8209	11252	163313	71.7692

 
